Info on the massive 1146 galaxies across all haloes: 

## Largest 1146 galaxies
## from: /disk01/rad/sim/m25n1024/s50/Groups/m25n1024_036.hdf5
## 1146 @ z=5.930

 ID    Mstar     Mgas      SFR       r         fgas   nrho      Central	|  Mhalo     HID
 0148  4.06e+07  8.67e+08  7.64e-02  5.20e+00  0.955  3.82e-09  True	|  4.69e+10  132 
 0149  2.40e+07  8.82e+08  1.06e-01  5.33e+00  0.973  5.73e-09  True	|  7.68e+10  51 
 0150  2.24e+07  8.81e+08  4.20e-02  2.95e+00  0.975  1.91e-09  True	|  3.00e+10  274 
 0151  1.79e+07  8.84e+08  9.52e-02  3.30e+00  0.980  3.82e-09  True	|  5.60e+10  92 
 0152  4.45e+07  8.56e+08  8.32e-02  2.90e+00  0.951  3.82e-09  False	|  8.92e+10  35 
 0153  2.73e+07  8.72e+08  4.45e-02  2.62e+00  0.970  1.91e-09  True	|  4.51e+10  142 
 0154  2.15e+07  8.78e+08  6.42e-02  4.63e+00  0.976  3.82e-09  True	|  2.98e+10  276 
 0155  2.27e+07  8.76e+08  3.37e-02  5.63e+00  0.975  5.73e-09  True	|  8.11e+10  47 
 0156  2.88e+07  8.68e+08  6.42e-02  4.47e+00  0.968  1.91e-09  True	|  4.00e+10  171 
 0157  2.02e+07  8.76e+08  6.38e-02  2.19e+00  0.977  1.91e-09  True	|  3.72e+10  186 
 0158  1.43e+07  8.77e+08  2.91e-02  2.52e+00  0.984  5.73e-09  True	|  3.66e+10  191 
 0159  1.93e+07  8.71e+08  6.55e-02  1.95e+00  0.978  7.64e-09  True	|  5.99e+10  82 
 0160  3.07e+07  8.56e+08  1.33e-01  5.62e+00  0.965  1.91e-09  True	|  2.95e+10  286 
 0161  8.53e+07  8.01e+08  1.82e-01  4.17e+00  0.904  3.82e-09  True	|  5.63e+10  90 
 0162  6.24e+07  8.18e+08  2.41e-01  7.24e+00  0.929  1.91e-09  True	|  5.00e+10  115 
 0163  3.65e+07  8.44e+08  1.56e-01  7.07e+00  0.959  1.91e-09  True	|  6.94e+10  62 
 0164  3.99e+07  8.37e+08  2.59e-01  2.26e+00  0.955  3.82e-09  True	|  2.50e+10  374 
 0165  9.99e+07  7.61e+08  1.46e-01  2.10e+00  0.884  7.64e-09  False	|  8.08e+10  48 
 0166  2.28e+07  8.37e+08  1.18e-01  3.16e+00  0.974  5.73e-09  True	|  4.14e+10  161 
 0167  1.54e+07  8.42e+08  2.83e-01  1.71e+00  0.982  1.91e-09  True	|  2.70e+10  332 
 0168  1.18e+07  8.45e+08  5.03e-02  5.18e+00  0.986  5.73e-09  False	|  3.58e+11  4 
 0169  2.53e+07  8.30e+08  1.76e-01  3.31e+00  0.970  1.91e-09  True	|  3.13e+10  251 
 0170  3.05e+07  8.24e+08  9.07e-02  3.59e+00  0.964  1.91e-09  True	|  4.09e+10  169 
 0171  1.72e+07  8.32e+08  5.94e-02  4.51e+00  0.980  1.91e-09  True	|  3.12e+10  252 
