
## Largest 1146 Galaxies 
## from: /mnt/ceph/users/daisyleung/simba/sim/m25n1024/s50/Groups/m25n1024_036.hdf5
## 1146 @ z=5.930

 ID      Mstar     Mgas      MBH    fedd    SFR [Msun/yr]       r_baryon   r_gas      r_gas_half_mass      r_stellar    r_stellar_half_mass    Z_sfrWeighted [/Zsun]    Z_massWeighted     Z_stellar     T_gas_massWeighted    T_gas_SFRWeighted   fgas   nrho      Central	|  Mhalo     HID
 0043  8.53e+07  1.82e+09  0.00e+00  0.00e+00  4.17e-01  4.74e+00  4.74e+00  1.15e+00  2.71e+00  7.73e-01   0.061   0.000  0.001  1.51e+04  3.52e+04  0.955  5.73e-09  True	|  -1.00e+00  -1 
 0044  3.07e+07  1.83e+09  0.00e+00  0.00e+00  1.72e-01  4.13e+00  4.13e+00  7.96e-01  1.98e+00  2.79e-01   0.049   0.000  0.001  1.44e+04  2.61e+04  0.983  3.82e-09  True	|  -1.00e+00  -1 
 0045  4.51e+07  1.81e+09  0.00e+00  0.00e+00  1.51e-01  6.19e+00  6.19e+00  1.83e+00  4.56e+00  3.68e-01   0.057   0.000  0.001  1.17e+04  4.52e+04  0.976  5.73e-09  True	|  -1.00e+00  -1 
 0046  1.19e+08  1.70e+09  0.00e+00  0.00e+00  2.74e-01  4.96e+00  4.96e+00  8.93e-01  3.45e+00  3.96e-01   0.065   0.000  0.001  1.36e+04  2.13e+04  0.935  1.91e-09  True	|  -1.00e+00  -1 
 0047  1.59e+07  1.80e+09  0.00e+00  0.00e+00  4.13e-02  4.67e+00  4.67e+00  2.77e+00  4.16e+00  3.79e+00   0.047   0.000  0.000  1.17e+04  2.00e+04  0.991  3.82e-09  True	|  -1.00e+00  -1 
 0048  1.10e+08  1.68e+09  0.00e+00  0.00e+00  3.37e-01  4.78e+00  4.78e+00  1.06e+00  2.78e+00  2.49e-01   0.065   0.000  0.001  1.26e+04  3.79e+04  0.938  3.82e-09  True	|  -1.00e+00  -1 
 0049  1.33e+08  1.64e+09  0.00e+00  0.00e+00  3.06e-01  3.23e+00  3.23e+00  1.02e+00  2.33e+00  3.62e-01   0.069   0.000  0.001  1.40e+04  2.18e+04  0.925  1.91e-09  True	|  -1.00e+00  -1 
 0050  9.55e+07  1.67e+09  0.00e+00  0.00e+00  4.74e-01  2.32e+00  2.32e+00  7.70e-01  1.77e+00  2.08e-01   0.052   0.000  0.001  1.57e+04  3.00e+04  0.946  7.64e-09  True	|  -1.00e+00  -1 
 0051  8.52e+07  1.62e+09  0.00e+00  0.00e+00  2.22e-01  3.65e+00  3.65e+00  8.49e-01  1.60e+00  3.27e-01   0.058   0.000  0.001  1.49e+04  2.24e+04  0.950  1.91e-09  True	|  -1.00e+00  -1 
 0052  4.59e+07  1.61e+09  0.00e+00  0.00e+00  7.87e-02  4.41e+00  4.41e+00  1.66e+00  3.36e+00  5.26e-01   0.061   0.000  0.001  1.00e+04  2.48e+04  0.972  1.91e-09  True	|  -1.00e+00  -1 
 0053  1.14e+08  1.52e+09  0.00e+00  0.00e+00  3.88e-01  2.95e+00  2.95e+00  6.56e-01  1.46e+00  3.44e-01   0.063   0.000  0.001  1.56e+04  2.61e+04  0.930  3.82e-09  True	|  -1.00e+00  -1 
 0054  7.04e+07  1.55e+09  0.00e+00  0.00e+00  3.66e-01  8.00e+00  8.00e+00  3.21e+00  6.97e+00  2.60e-01   0.065   0.000  0.001  1.55e+04  3.86e+04  0.956  7.64e-09  True	|  -1.00e+00  -1 
 0055  2.46e+07  1.59e+09  0.00e+00  0.00e+00  1.56e-01  5.01e+00  5.01e+00  9.77e-01  4.35e+00  7.03e-01   0.039   0.000  0.000  1.48e+04  2.49e+04  0.985  3.82e-09  True	|  -1.00e+00  -1 
 0056  4.77e+07  1.52e+09  0.00e+00  0.00e+00  1.45e-01  3.18e+00  3.18e+00  1.15e+00  2.41e+00  3.20e-01   0.053   0.000  0.001  1.22e+04  2.31e+04  0.970  3.82e-09  True	|  -1.00e+00  -1 
 0057  5.18e+07  1.49e+09  0.00e+00  0.00e+00  9.26e-01  4.03e+00  4.03e+00  1.01e+00  1.40e+00  1.16e-01   0.067   0.000  0.000  1.74e+04  5.61e+04  0.966  7.64e-09  True	|  -1.00e+00  -1 
 0058  2.03e+07  1.50e+09  0.00e+00  0.00e+00  4.21e-01  4.02e+00  4.02e+00  1.36e+00  1.60e+00  1.31e+00   0.042   0.000  0.001  1.75e+04  4.98e+04  0.987  5.73e-09  True	|  -1.00e+00  -1 
 0059  3.27e+07  1.49e+09  0.00e+00  0.00e+00  5.70e-02  7.63e+00  7.63e+00  1.80e+00  4.14e+00  2.75e-01   0.054   0.000  0.000  1.14e+04  2.49e+04  0.979  1.91e-09  True	|  -1.00e+00  -1 
 0060  1.10e+08  1.41e+09  0.00e+00  0.00e+00  4.74e-01  2.99e+00  2.99e+00  6.37e-01  2.51e+00  2.93e-01   0.066   0.000  0.001  1.56e+04  2.69e+04  0.928  7.64e-09  True	|  -1.00e+00  -1 
 0061  6.24e+07  1.44e+09  0.00e+00  0.00e+00  3.48e-01  2.71e+00  2.71e+00  8.49e-01  1.78e+00  5.50e-01   0.059   0.000  0.001  1.69e+04  2.72e+04  0.958  1.91e-09  True	|  -1.00e+00  -1 
